,person,herkunft,lebensdaten,karriere
68,Asahi Kenkichi 旭憲吉,Kyôto-shi,14.1.1874–22.1.1930,"1903–1906 (MfB) Medizinstudien.Dermatologe, Professor der Kyûshû-Universität,. Publik. u.a. Hifubyô shindan oyobi chiryôhô: zen 皮膚病診斷及治療法: 全  (Untertitel: Diagnostik und Therapie der Hautkrankheiten), Karyûbyô shindan oyobi chiryôhô 花柳病診断及治療法 (Untertitel: Diagnostik und Therapie der venerischen Krankheiten)."
69,Asahina Kôjû 朝比奈光十,Shizuoka-ken,April 1877–,"SS 1910 (MfB) Chemie – TH Berlin, Charlottenburg, Am Lützow 6/2.Professor der Technischen Hochschule Ôsaka Kôtô Kôgyô Gakkô."
70,Asahina Yasuhiko 朝比奈泰彦,Yamagata-ken,16.4.1881–30.6.1975,"SS 1912–WS 1912/13 (MfB) Chemie – U Berlin, NW 52 Calvinstr. 7.Pharmakologe, Professor der Tôkyô-Universität. Publik. u.a. Nihon yakkyokuhô chûkai 日本薬局方註解 (Kommentar zum japanischen Arzneibuch), Mitautor von Shokubutsu yakubutsu gakumei tenpan: kagaku raten – girishagohô 植物薬物学名典範 : 科学ラテン・ギリシヤ語法 (Das Muster wissenschaftlicher Namen für pflanzliche Medizin ist das wissenschaftliche Latein und Griechisch)."
71,Asai Kaichirô 浅井禾一郎,"Masuo-mura, Nagoya-ken",5.3.1882–,"Dez. 1909–Aug. 1913 Medizin ♦ WS 1909/10 – U Berlin, W 35 Schöneberger Ufer 10 ♦ SS 1910 – U München, Waltherstr. 13/2 ♦ WS 1910/11–SS 1911 – U Rostock, Friedrichstr. 39 ♦ WS 1911/12–SS 1913 – U Greifswald.Dr. med. 1913, Greifswald: Aus der medizinischen Klinik der Universität Greifswald. Über akuten Morbus Basedowii. 35 S.Arzt in Nagoya."
72,Asai Takeshirô 浅井猛郎,Nagoya,21.12.1880–10.3.1942,1912–1914 Medizin in Würzburg und München.Professor an der Medizinischen Hochschule Aichi Igaku Senmon Gakkô.
73,Asakawa Eijirô 浅川栄次郎,Kôfu,12.9.1886–,"Aug. 1909–Jan. 1914 Ökonomie ♦ SS 1910 Volkswirtschaft – U Berlin, Charlottenburg, Achimsthaler 10 ♦ WS 1910/11–WS 1913/14 Staatswissenschaft – U Halle, Fürstenthal 10.Professor der Waseda-Universität, Begründer des Mitsubishi Forschungsinstituts. Publik. u.a. über den Ökonomen Amano Tameyuki 天野為之 (1859–1938)."
74,Asakawa Toshiyasu (Toshinobu) 浅川敏靖,Yamanashi-ken,18.4.1860–29.6.1933,Mai 1889–Dez. 1892 (Armee) als Leutnant Militärstudien ♦ ab 27. Juli 1891 beim „2. Königin Husaren Regiment“ in Dresden.Generalleutnant.
75,Asakuno Kanjûrô 朝久野勘十郎,-,-,Dez. 1911–März 1912 (Armee) als Oberst Militärstudien in Berlin.Generalleutnant.
76,Asakura Bunzô 朝倉文三,Tôkyô,3.9.1863–2.2.1935,"1895–1897 Medizin ♦ SS 1896 Magen-Darm-Krankheiten – U Freiburg; Albertstr. 8 ♦ WS 1896–SS 1897 – U Berlin, Friedenau, Fregestr. 14. ♦ Jan. 1902–Juni 1903 erneut in Deutschland.Dr. med. 1896, Freiburg: Über Cysticerken im Aquaeductus silvii. 25 S.Professor der Medizinischen Hochschule Jikeikai Ika Daigaku in Tôkyô, Direktor des Asakura-Hospitals. Publik. u.a. Jinzô shikkan no bunrui oyobi chiryô 腎臓疾患ノ分類及治療 (Klassifizierung von Nierenkrankheiten und deren Therapie)."
77,Asakura Kiichi 朝倉希一,Tôkyô,12.3.1883–20.4.1978,"WS 1910/11–WS 1911/12 (SME) Ingenieurwesen (Maschinenbau) – TH Berlin, Charlottenburg, Carmerstr. 16; W 15, Pfalzburgerstr. 8/3 ♦ 1912 in München.Professor der Kanagawa-Universität. Publik. u.a. Kisha: gijutsu zuihitsu 汽車: 技術隨筆 (Der Zug – ein technisches Essay), Tetsudô sharyô 鐡道車輛 (Eisenbahnwagen, 2 Bde), Gijutsu seikatsu gojûnen 技術生活五十年 (50 Jahre Leben für die Technik, 1958)."
78,Asano Kisaburô 浅野喜三郎,Toyama-ken,1853–,Nov. 1886–1889 (Unt) Ingenieurwesen (Zementverarbeitung).Ingenieur im Zementwerk Asano Semento.
79,Asanuma Haru (Osamu) 浅沼治,Tôkyô,15.7.1881–,"Jan. 1903–Juni 1905 Studien zur Fotografie in Darmstadt, Frankfurt/Main und 1904–1905 an der TH Berlin.Prokurist der Firma Asanuma Shôkai. Publik. u.a. Asanuma Tôkichi den 淺沼藤吉傳 (Biografie des Asanuma Tôkichi, Pionier der Fotografie in Japan)."
80,Asaoka Shinsaburô 浅岡信三郎,-,-,1910–1912 (Armee) als Major Ingenieurwesen bei Friedrich Krupp Co. in Essen.Generalmajor.
81,Asayama Giroku 朝山義六,Yokohama,-,"März 1887–März 1890 Medizin ♦ SS 1887–WS 1888/89 – U München, Sendlingerthorpl. 1a/2; Dachauerstr. 25/2 l.; Frauenklinik.Dr. med. 1889, München: Über das Verhältnis des Blutverlustes bei normalen Geburten bei der rein exspektativen und der Expressionsmethode. 37 S.Gynekologe in Tôkyô."
82,Asayama Ikujirô 朝山育次郎,Kyôto,29.3.1863–9.11.1915,"Nov. 1899–Jan. 1902 (MfB) Medizin in Berlin, Heidelberg und Marburg ♦ WS 1898/99–SS 1899 Augenheilkunde – U Berlin.Professor der Kyôto- und der Tôkyô-Universität."
83,Ashida Teruo 足田輝雄,Ôsaka,13.12.1887–26.9.1964,"1909–1912 Philosophie ♦ WS 1910/11 – U München, Schwindstr. 28/0 l ♦ SS 1911–SS 1912 – U Erlangen, Marquardsenstr. 23.Dr. phil. 1912, Erlangen: Das Geldwesen Japans, Entwicklung und Vergleichung mit demjenigen in europäischen Ländern. 147 S."
84,Ashihara Nobuyuki 芦原信之,"Tango, Kyôto-fu",22.8.1868–,"1898–1901 (Armee) Medizin (Dermatologie) ♦ SS 1898–WS 1889/1900 – U Breslau, Große Fürstenstr. 31 ♦ SS 1900–WS 1900/01 – U Berlin, NW 6 Philippstr. 4.Dr. med. 1900, Breslau: Aus der Kgl. dermatologischen Universitäts-Klinik zu Breslau. Über das Lupus-Carcinom. 60 S.Chirurg, Arzt in Tôkyô."
85,Asô (Azabu) Keijirô 麻生慶次郎,Tôkyô,Juni 1875–28.10.1953,"1910–1911 (MfB) Chemie ♦ SS 1910 – U München ♦ WS 1910/11–SS 1911 – U Berlin, NW 52 Calvinstr. 11.Professor der Tôkyô-Universität. Publik. u.a. Dojôgaku 土壤學 (Pedologie)."
86,Atobe Sadajirô 跡部定治郎,Fukui-ken,14.6.1872–13.7.1938,"März 1902–Juli 1905 (MfB) Recht.Professor an der Kyûshû-Universität, Völkerrechtler. Publik. u.a. Kokusai shihô 國際私法 (Internationales Privatrecht), Senji kokusai kôhô 戰時國際公法 (Internationales öffentliches Recht in Kriegszeiten), Mitautor von Kokusai minshôhô ron 國際民商法論 (Über Internationales Handelsrecht)."
87,Azuma Kachikata (Katsutake) 吾妻勝剛,Tôkyô,6.10.1867–1.9.1923,"Febr. 1898–Juni 1901 (MfB) Medizin (Gynekologie) ♦ SS 1898–WS 1898/99 – U Freiburg, Ludwigstr. 5 ♦ WS 1898/99–SS 1899 – U Straßburg, Eisgruben 18 ♦ WS 1899/1900–SS 1900– U Breslau, Uferstr. 11 ♦ WS 1900/01 – U Berlin, NW 6 Luisenstr. 47.Professor der Kyôto-Universität, Direktor des Azuma–Hospitals."
88,Baba Shirô 馬場四郎,Hiroshima,-,"WS 1913/14–SS 1914 Medizin – U Berlin, Charlottenburg, Mommsenstr. 51."
89,Ban Fusajirô 伴房次郎,Kyôto-fu,April 1874–9.11.1956,"SS 1909–SS 1911 (MfB) Recht – U Berlin, Schöneberg, Geisbergstr. 29.Direktor der Handelshochschule Otaru Kôtô Shôgyô Gakkô. Publik. u.a. Keiyakuhô kakuron 契約法各論 (Spezielle Abhandlungen zum Vertragsrecht), Minpô sôsoku:zen 民法總則 全 (Allgemeine Bestimmungen zum Zivilrecht)."
90,Ban Keiichi 伴圭一,-,-,Juli 1911–Juli 1913 Ingenieurwesen in Berlin und Duisburg.Direktor von Nihon Steel.
91,Bandô Kihachi 坂東喜八,"Awajishima, Hyôgo-ken",1856–18.11.1925,1884–1886 (Marine) Ingenieurwesen (Torpedo-Produktion).Abteilungsleiter im Arsenal von Kure.
92,Banzai Rihachirô 坂西利八郎,Wakayama-ken,16.12.1870–31.5.1950,"Mai 1908–1909 (Armee) Militärstudien als Oberstleutnant in Berlin.Generalleutnant. Publik. u.a. Banzai Rihachirô shokan: hôkokushû 坂西利八郎書翰・報告集 (Schreiben des Banzai Rihachirô: Berichtesammlung; 1989), Mitautor von Shina jinkô mondai kenkyû 支那人口問題研究 (Studien zur Bevölkerungsproblematik in China; 1934), Rinpô no naimenkan 隣邦の内面觀 (Innere Betrachtungen der Nachbarländer), Manmô mondai no jûten 滿蒙問題の重點 (Problemschwerpunkte der Mandschurei und Mongolei, 1931)."
93,Bôjô Toshiaki (Toshiaya) 坊城俊章,Kyôto,7.2..1847–24.6.1906,"Dez. 1871–Juli 1874 (Armee) Militärstudien in Deutschland.Oberstleutnant, Teilnehmer am Seinan sensô 1877 und am Japanisch-Chinesischen Krieg 1894/95, 1884 zum Vicomte geadelt, 1890 Mitglied des Kizokuin."
94,Chiba Kôzô (Kikukô) 千葉鈎藏 (掬香),Tôkyô,20.6.1870–27.12.1938,"WS 1895/96–WS 1896/97 Staatswissenschaft – U Berlin, Königrätzerstr. 97.Lektor der Waseda-Universität, Übersetzte u.a. Recent tendencies in ethics von William Ritchie Sorley (Japanisch: Bankin rinri shichô no keikô 輓近倫理思潮の傾向)."
95,Chiba Shinichi 千葉真一,Tôkyô,7.2.1880–,Mai 1908–1911 Medizin in Straßburg.Direktor des Chiba-Hospitals in Asakusa.
96,Chiba Toshijirô 千葉稔次郎,"Hagi, Yamaguchi-ken",9.12.1863–17.6.1923,"Mai 1899–Jan. 1903 (MfB) Medizin (Gynekologie) ♦ WS 1899/1900–SS 1900 – U Straßburg, Pergamentergasse 4 ♦ WS 1901/02–WS 1902/03 – U Berlin, NW 6 Luisenplatz 7.Professor der Tôkyô-Universität, Eigentümer des Mazumi-Hospitals"
97,Chichibu Tadakane 秩父忠兼,Shizuoka,18.10.1869–,WS 1889/90–WS1890/91 Ingenieurwesen (Architektur) – TH Berlin.
98,Chikamori Toraji 近森虎治,-,–Juli 1930,"SS 1894–WS 1894/95 Medizin – U Berlin, Flemmingstr. 6.Arzt und Biologe. Publik. u.a. Seibutsukai no jôtai 生物界之状態 (Verhältnisse in Fauna und Flora), Dâwinshi oyobi Dâwinha shinkaron no ketten ダーウィン氏及ダーウィン派進化論之缺點 (Darwin und die Mängel der Darwinschen Entwicklungslehre), Mirai no ningen 未来の人間 (Der Mensch der Zukunft)."
99,Chikano Kyûzô (Hatozô) 近野鳩三,Kumamoto-shi,9.8.1865–5.1.1923,April 1908–April 1909 (Armee) Militärstudien als Oberst in Berlin und Wien.Generalleutnant.
100,Chikashige Masumi 近重真澄,Kyôto,Mai 1870–16.11.1941,"1905–1908 (MfB) Chemie ♦ WS 1905/06–WS 1906/07 – U Göttingen, Kreuzbergweg 15 ♦ WS 1907/08 – U Berlin, W 30 Viktoria-Luiseplatz 4.Professor der Tôkyô- und der Kyôto-Universität, Direktor eines Forschungsinstituts für Chemie. Publik. u.a. Saikin kagaku kyôkasho 最新化学教科書 (Lehrbuch der modernen Chemie), Kinsôgaku 金相學 (Metallografie), Alchemy and other chemical achievments of the ancient Orient : the civilization of Japan and China in early times as seen from the chemical point of view."
101,Chikasumi Jôkan 近角常観,Shiga-ken,24.4.1870–3.12.1941,"WS 1900/01–SS 1901 Philosophie – U Berlin, Steglitzer Str. 81.Philosoph, Begründer der philosophischen Schule Gudô Gakusha 求道学者. Publik. u.a. Jinsei to shinkô 人生と信仰 (Mensch und Glaube), Gudô to kengen 求道と建現 (etwa: Wahrheit und Klarheit), Shinkô mondai 信仰問題 (Glaubensfragen)."
102,Chô Hisayoshi 長寿吉,Tôkyô,4.8.1882–21.3.1971,"März 1912–1914 (MfB) Geschichte in Berlin und München.Historiker, Professor der Kyûshû-Universität. Publik. u.a. Gaikan Seiyô tsûshi 概觀西洋通史 (Abriss über die allgemeine Geschichte Europas, 1948), Shigaku gairon 史學概論 (Einführung in die Geschichtswissenschaften), Mitautor von Seiyô kinsei shi 西洋近世史 (Geschichte der Neuzeit Europas, 4 Bde)."
103,Chôdô Yoshiaki 長藤義明,Tottori,April 1875–,"Mai 1907–Mai 1910 (Armee) in Eisenach, Leipzig, Magdeburg und Berlin ♦ SS 1908–SS 1909 Philosophie – U Leipzig, Bayersche Str. 50/3.Oberstleutnant, Leitender Direktor der Nippon-Lebensversicherung."
104,Daidôji Genichi (Motokazu) 大道寺元一,-,-,1911–1912 (Armee)als Major Militärstudien in Neu-Babelsberg und Hannover.
105,Daikuhara Gintarô 大工原銀太郎,Tôkyô,4.1.1868–19.3.1934,"März 1911–1913 (MfLH) Chemie in Berlin und Göttingen ♦ SS 1912–WS 1913/14 – U Göttingen, Bunsenstr. 17.Spezialist für Agrarchemie, Präsident der Kyûshû-Universität und der Dôshisha-Universität in Kyôto. Publik. u.a. Dojôgaku kôgi 土壤學講義 (Vorlesungen zur Bodenkunde), Nôgaku hakase Daikuhara sensei ronbunshû 農學博士大工原先生論文集 (Gesammelte Werke des Dr. agr. Daikuhara, 1931)."
106,Date Noritaka 伊達典孝,-,-,März 1901–1904 (Armee) als Hauptmann Militärstudien in Berlin und ab Jan. 1903 in München beim Infanterie-Leib-Regiment der Bayerischen Regierung.
107,Date Takeshirô 伊達猛四郎,Tôkyô,1868–25.7.1908,"1890–1894 Recht ♦ SS 1890–SS 1891 – U Berlin; Potsdamer Str. 123 ♦ WS 1891/92–SS 1894 – U Leipzig, Gustav Adolfstr. 14; Raudnitz, Nostizstr. 5"
108,Dohi Keizô 土肥慶蔵,"Takefu, Fukui-ken",9.6.1866–6.11.1931,"April 1893–Dez. 1894 Medizin ♦ WS 1893/94 Haut- und Geschlechtskrankheiten – U Heidelberg, Leopoldstr. 18, bei Hoffmann.Dermatologe und Urologe, leistete auf diesen Gebieten Pionierarbeit in Japan, Professor der Tôkyô-Universität. Publik. u.a. Beiträge zur Geschichte der Syphilis : insbesondere über ihren Ursprung und ihre Pathologie in Ostasien, Saishoku hifubyô zufu 彩色皮膚病圖譜 (Untertitel: Atlas der Hautkrankheiten), Seibyôgaku (Die Lehre von den Geschlechtskrankheiten), Hifu kagaku 皮膚科學 (Dermatologie), Festschrift gewidmet Keizo Dohi, Professor u. Direktor der Kaiserlichen Universitätsklinik u. Poliklinik für Dermatologie u. Urologie zu Tokyo, zu seinem 25 jährigen Doktorjubiläum in Verehrung von seinen Schülern u. Freunden (Tokyo 1917);."
109,Dohi Mamoru 土肥衛,Nagasaki,15.1.1877–,"1909–1911 Medizin (Gynekologie) ♦ WS 1909/10–WS 1910/11 – U München, Schwanthalerstr. 63/2; Waltherstr. 13/2 ♦ SS 1911 – U Halle, Rathausstr. 6/2.Dr. med. 1911, München: Über die Folgen des vor- und frühzeitigen Blasensprungs bei einer normalen Geburt. 27 S.Direktor des Dohi-Hospitals; publizierte u.a. Eisei to kango oyobi ikuji 衞生と看護及び育児: 家事参考 (Hygiene und Kranken- sowie Kinderpflege: zum häuslichen Nachschlagen)."
110,Dohi Shoichirô,Hyôgo-ken,17.8.1884–,1913–Aug. 1914 Veterinärmedizin in München.
111,Dohi Shôji 土肥章司,Gifu-ken,Juni 1876–1960,"Dez. 1906–1909 Medizin ♦ SS 1908–WS 1908/09 Dermatologie und Urologie – U Breslau, Fürstenstr. 79/2.Professor der Medizinischen Hochschule Kanazawa Igaku Senmon Gakkô. Publik. u.a. Hifu oyobi seibyôgaku 皮膚及性病学 (Die Lehre von den Haut- und Geschlechtskrankheiten)."
112,Dômae Kenzô 堂前堅三,Nara,29.8.1883–,"1911–1913 Ingenieurwesen in Berlin und Dresden.SS 1912–SS 1913 Fabrik-Ingenieur – TH Dresden, Schnorrstr. 14; Reichenbachstr. 23/2."
113,Eguchi Noboru 江口襄,Tochigi-ken,-,"WS 1887/88–SS 1888 Medizin – U Berlin, N Artilleriestr. 8."
114,Eguchi Tatsuo 江口龍夫,"Shizuoka, Izu",6.10.1872–,"WS 1911/12–SS 1912 (Armee) Medizin – U München, Mozartstr. 9/2.Dr. med. 1912, München: Über Nierentuberkulose. 32 S.Arzt."
115,Emai K.,-,-,"Febr. 1892–1895 (Marine) Militärstudien als Kapitänleutnant, offiziell als Gehilfe der Prinzen Yamashina no miya¬ Kikumaro und Fushimi no miya¬ Hiroyasu, begleitete sie abwechselnd auf verschiedenen deutschen Kadettenschulschiffen.17"
116,Emi Ninsei ,-,-,SS 1901–SS 1902 Philosophie – U Berlin; Bandelstr. 12.
117,Emori Jôkichirô 江守襄吉郎,Ôsaka,23.9.1870–29.6.1919,"1900–1901 (MfB) Chemie ♦ GH WS 1900/01 – TH Dresden, Sedanstr. 23/2 ♦ SS1901 – U Berlin, Charlottenburg, Leibnizstr. 24.Professor der Tôkyô-Universität."
118,Emura Teizô 江村悌造,"Yonezawa, Yamagata-ken",1.3.1875–,"SS 1910–WS 1911/12 Medizin – U Erlangen, Luitpoldstr. 28.Dr. med. 1912, Erlangen: Über die Häufigkeit der Anaciditas Gastrica im Vergleich zu der Häufigkeit des normalen und vermehrten Salzsäuregehaltes. 57 S., 4 Tab."
119,Endô Hidesaburô 遠藤秀三郎,Tôkyô,15.4.1862–,"WS 1889/90–SS 1892 Philosophie – U Leipzig, Frankfurter Str. 12; Zeitzerstr. 22.Dr. phil. 9.1.1893, Leipzig: Das Leben und die pädagogische Bedeutung des Confucius. 35 S.Publik. u.a. Kyôikuka to shite Kôfushi 教育家としての孔夫子 (Konfuzius als Pädagoge)."
120,Endô Isaburô,-,-,"SS 1900 Medizin – U Berlin; NW, Lehrterstr. 55."
121,Endô Kinichi 遠藤金市,Tottori-ken,März 1875–,"SS 1912–SS 1913 (MfB) Bauwesen – TH Berlin, Charlottenburg, Niebuhrstr. 56/1.Direktor der Technischen Hochschule Kumamoto Kôtô Kôgyô Gakkô."
122,Endô Masanao 遠藤政直,"Morioka, Iwate-ken",25.5.1883–10.11.1941,"WS 1908/09–SS 1909 Ingenieurwesen (Maschinenbau) – TH Dresden, Sedanstr. 15/3.Professor an der Waseda- und der Kyûshû-Universität sowie an der Technischen Hochschule Yokohama Kôtô Kôgyô Gakkô. Publik. u.a. Sokutô 喞筒 (Pumpen)."
123,Endô Michitaka 遠藤道孝,-,1871–,1911-1912 (Amee) Medizin als Hauptmann in Berlin und Leipzig. Publik. u.a. Kokyû taisô 呼吸體操 (Atemgymnastik). Militärarzt.
124,Endô Shinji 遠藤慎司,-,–April 1932,"Mai 1881–Jan. 1885 (Armee) Militärstudien in den USA und Deutschland, begleitete 1884–1885 Armeeminister Ôyama auf seiner Studienreise in Europa, dolmetschte für Jacob Meckel an der Militärakademie in Tôkyô.Direktor der Militärakademie, Bürgermeister von Wakayama. Publik. u.a. Bokigaku: Keizaigaku taishô: zen 簿記學: 經濟學對照: 全 (Buchhaltung: Gegenstand der Wirtschaftswissenschaften)."
125,Endô Tosaburô 遠藤外三郎,Ishikawa,-,"WS 1899/1900–SS 1900 Medizin – U Berlin, NW Lehrterstr. 55.Professor der Medizinischen Hochschule Ôsaka Igaku Senmon Gakkô."
126,Enomoto Naoharu 榎本尚治,Fukuoka-ken,-,"1910–1914 (Armee) Medizin, ab 1912 in Kiel.Militärarzt."
127,Enomoto Yoshichirô 榎本与七郎,-,-,1897–1898 als Arzt Medizin.Augenarzt in Fukuoka.
128,Esoe Hamaji 江副浜二,Saga,1883–15.10.1931,1914 (Armee) Militärstudien als Leutnant in Berlin.
129,Fuchida Shunji 淵田俊治,Ôsaka,28.3.1879–,"WS 1906/07–SS 1908 Medizin (Gynekologie) – U München, Augsburger Str. 10/1. Waltherstr. 19/3 r.; Maistr. 17/1. ♦ 1908 Praktikum in einem Krankenhaus in DresdenDr. med.1908, München: Die Therapie der Eklampsie nach den Erfahrungen in den letzten drei Jahren in der medizinischen Frauenklinik zu München. 61 S.Arzt in Ôsaka."
130,Fuchiki,-,-,1914 (Armee) Militärstudien als Major in Berlin.
131,Fujie Nagataka (Eikô) 藤江永孝,Ishikawa,–1915,"1900–1901 Ingenieurwesen (Maschinenbau) in Dresden und Bautzen.Leiter des Porzellanprüfungsamtes in Kyôto. Publik. u.a. Wa-Kan taishô keitokuchin tôroku 和漢對照景徳鎮陶録 (Japanisch-chinesischer Vergleich der Aufzeichnungen von Kingthechen, 7 Bde):"
132,Fujihara Michio 藤原道雄,-,-,"1907–1908 Medizin in BerlinBiochemiker, Direktor des Susaki-Hospitals."
133,Fujihira Tetsuka ,-,-,"WS 1900/01–SS 1901 Philologie – U Berlin, Melanchthonstr. 28."
134,Fujii Kenjirô 藤井健次郎,"Kanazawa, Ishikawa-ken",5.10.1866–11.1.1952,"SS 1902–SS 1903 Botanik – U Bonn, Kronprinzenstr. 20.Professor der Tôkyô-Universität. Publik. u.a. Kinsei hakubutsu kyôkasho 近世博物教科書 (Lehrbuch der modernen Naturkunde), Saibôgaku no kakô oyobi genjô 細胞學の過去及び現状 (Vergangenheit und Gegenwart der Zytologie), Chûgakkôyô shokubutsu kyôkasho 中學校用植物教科書 (Botanisches Lehrbuch für Mittelschulen)."
135,Fujii Kenjirô 藤井健治郎,Yamagata-ken,8.8.1872–15.1.1931,"Sept. 1905–Okt. 1907 (MfB) Philosophie ♦ WS 1905/06–SS 1906  – U München, Schnorrstr. 10/1 l ♦ WS 1906/07 – U Berlin, W 35 Nollendorfstr. 7.Ethiker, Professor der Kyôto-Universität. Publik. u.a. Gendai shichô hihan; shizen no sekai kara risô no sekai e 現代思潮批判; 自然の世界から理想の世界へ(Kritik moderner Geistesströmung: Aus der natürlichen Welt in die Welt der Ideale), Kyôikuteki ronrigaku 教育的倫理學 (Pädagogische Logik), Kokumin dôtokuron 國民道徳論 (Über nationale Tugenden), Rinri to kyôiku: Nihon tokuyû dôtoku no kenkyû 倫理と教育; 日本特有道徳の研究 (Moral und Bildung: Studien der Japan eigenen Tugenden), Rinrigaku hôhô ron 倫理学方法論 (Über Maßregeln der Moral)."
136,Fujii Masanobu (Shinshin) 藤井真信,Tokushima-ken,1.1.1885–31.1.1935,"1912–1914 (MfF) Ökonomie in Berlin.1934 Finanzminister. Publik. u.a. Kakkoku zosei seido no sûsei ni tsuite 各國租税制度の趨勢に就て (Über internationale Tendenzen der Steuersysteme, 1930)."
137,Fujii Shigeta 藤井茂太,Hyôgo-ken,4.10.1860–14.1.1945,"Febr. 1890–1893 (Armee) Militärstudien als Hauptmann ♦ Juni 1891–1892 in Dresden ♦ in den achtziger Jahren Schüler von Jacob Meckel an der Militärakademie in Tôkyô.Generalleutnant, Dozent an der Militärakademie, Direktor einer Artillerieschule, im Russisch-Japanischen Krieg 1904/05 Generalstabschef der 1. Armee. Publik. u.a Ryôseneki kaikôdan 両戦役回顧談 (Rückblick auf zwei Kriege, 1936)."
